backend,operation,thread_mode,qtype,rows,width,shape,iterations,ms,input_gb_s,output_gb_s,encoded_bytes,decoded_bytes,notes
cuda,quantize,,IQ2_XXS,1,4096,1x4096,10,39.202200,0.000418,,1056,16384,
cuda,dequantize,,IQ2_XXS,1,4096,1x4096,200,0.008106,0.130273,2.021199,1056,16384,
libgguf_cpu,quantize,1_thread,IQ2_XXS,1,4096,1x4096,10,1.516412,0.010804,,1056,16384,
libgguf_cpu,dequantize,1_thread,IQ2_XXS,1,4096,1x4096,50,0.018052,0.058497,0.907585,1056,16384,
libgguf_cpu,quantize,default,IQ2_XXS,1,4096,1x4096,10,1.375097,0.011915,,1056,16384,
libgguf_cpu,dequantize,default,IQ2_XXS,1,4096,1x4096,50,0.014136,0.074701,1.159001,1056,16384,
cuda,quantize,,IQ2_XS,1,4096,1x4096,10,113.340417,0.000145,,1184,16384,
cuda,dequantize,,IQ2_XS,1,4096,1x4096,200,0.011556,0.102458,1.417792,1184,16384,
libgguf_cpu,quantize,1_thread,IQ2_XS,1,4096,1x4096,10,3.623976,0.004521,,1184,16384,
libgguf_cpu,dequantize,1_thread,IQ2_XS,1,4096,1x4096,50,0.017369,0.068169,0.943317,1184,16384,
libgguf_cpu,quantize,default,IQ2_XS,1,4096,1x4096,10,3.318784,0.004937,,1184,16384,
libgguf_cpu,dequantize,default,IQ2_XS,1,4096,1x4096,50,0.009118,0.129851,1.796857,1184,16384,
cuda,quantize,,IQ2_S,1,4096,1x4096,10,151.896045,0.000108,,1312,16384,
cuda,dequantize,,IQ2_S,1,4096,1x4096,200,0.008561,0.153260,1.913876,1312,16384,
libgguf_cpu,quantize,1_thread,IQ2_S,1,4096,1x4096,10,1.045118,0.015677,,1312,16384,
libgguf_cpu,dequantize,1_thread,IQ2_S,1,4096,1x4096,50,0.017170,0.076411,0.954206,1312,16384,
libgguf_cpu,quantize,default,IQ2_S,1,4096,1x4096,10,0.961465,0.017041,,1312,16384,
libgguf_cpu,dequantize,default,IQ2_S,1,4096,1x4096,50,0.010491,0.125065,1.561788,1312,16384,
cuda,quantize,,IQ3_XXS,1,4096,1x4096,10,238.959619,0.000069,,1568,16384,
cuda,dequantize,,IQ3_XXS,1,4096,1x4096,200,0.008474,0.185045,1.933535,1568,16384,
libgguf_cpu,quantize,1_thread,IQ3_XXS,1,4096,1x4096,10,2.168521,0.007555,,1568,16384,
libgguf_cpu,dequantize,1_thread,IQ3_XXS,1,4096,1x4096,50,0.017039,0.092025,0.961564,1568,16384,
libgguf_cpu,quantize,default,IQ3_XXS,1,4096,1x4096,10,2.161498,0.007580,,1568,16384,
libgguf_cpu,dequantize,default,IQ3_XXS,1,4096,1x4096,50,0.016729,0.093731,0.979395,1568,16384,
cuda,quantize,,IQ3_S,1,4096,1x4096,10,214.322681,0.000076,,1760,16384,
cuda,dequantize,,IQ3_S,1,4096,1x4096,200,0.008407,0.209348,1.948843,1760,16384,
libgguf_cpu,quantize,1_thread,IQ3_S,1,4096,1x4096,10,1.276999,0.012830,,1760,16384,
libgguf_cpu,dequantize,1_thread,IQ3_S,1,4096,1x4096,50,0.017501,0.100565,0.936169,1760,16384,
libgguf_cpu,quantize,default,IQ3_S,1,4096,1x4096,10,1.345547,0.012176,,1760,16384,
libgguf_cpu,dequantize,default,IQ3_S,1,4096,1x4096,50,0.010508,0.167486,1.559142,1760,16384,
cuda,quantize,,IQ1_S,1,4096,1x4096,10,28.725653,0.000570,,800,16384,
cuda,dequantize,,IQ1_S,1,4096,1x4096,200,0.008412,0.095100,1.947657,800,16384,
libgguf_cpu,quantize,1_thread,IQ1_S,1,4096,1x4096,10,0.601089,0.027257,,800,16384,
libgguf_cpu,dequantize,1_thread,IQ1_S,1,4096,1x4096,50,0.016197,0.049391,1.011525,800,16384,
libgguf_cpu,quantize,default,IQ1_S,1,4096,1x4096,10,0.579093,0.028293,,800,16384,
libgguf_cpu,dequantize,default,IQ1_S,1,4096,1x4096,50,0.012392,0.064556,1.322109,800,16384,
cuda,quantize,,IQ1_M,1,4096,1x4096,10,30.039551,0.000545,,896,16384,
cuda,dequantize,,IQ1_M,1,4096,1x4096,200,0.009253,0.096834,1.770677,896,16384,
libgguf_cpu,quantize,1_thread,IQ1_M,1,4096,1x4096,10,2.139590,0.007658,,896,16384,
libgguf_cpu,dequantize,1_thread,IQ1_M,1,4096,1x4096,50,0.011519,0.077788,1.422403,896,16384,
libgguf_cpu,quantize,default,IQ1_M,1,4096,1x4096,10,2.138985,0.007660,,896,16384,
libgguf_cpu,dequantize,default,IQ1_M,1,4096,1x4096,50,0.008878,0.100929,1.845557,896,16384,
cuda,quantize,,IQ4_NL,1,4096,1x4096,200,0.192665,0.085039,,2304,16384,
cuda,dequantize,,IQ4_NL,1,4096,1x4096,200,0.010824,0.212867,1.513718,2304,16384,
libgguf_cpu,quantize,1_thread,IQ4_NL,1,4096,1x4096,50,0.930774,0.017603,,2304,16384,
libgguf_cpu,dequantize,1_thread,IQ4_NL,1,4096,1x4096,50,0.010807,0.213200,1.516091,2304,16384,
libgguf_cpu,quantize,default,IQ4_NL,1,4096,1x4096,50,1.058100,0.015484,,2304,16384,
libgguf_cpu,dequantize,default,IQ4_NL,1,4096,1x4096,50,0.012129,0.189956,1.350797,2304,16384,
cuda,quantize,,IQ4_XS,1,4096,1x4096,200,1.511081,0.010843,,2176,16384,
cuda,dequantize,,IQ4_XS,1,4096,1x4096,200,0.010485,0.207535,1.562619,2176,16384,
libgguf_cpu,quantize,1_thread,IQ4_XS,1,4096,1x4096,50,0.949204,0.017261,,2176,16384,
libgguf_cpu,dequantize,1_thread,IQ4_XS,1,4096,1x4096,50,0.017592,0.123695,0.931348,2176,16384,
