qtype,shape,rows,width,iterations,ms,encoded_bytes,decoded_bytes,traffic_gb_s,exact
IQ2_XXS,64x4096,64,4096,200,0.008893,67584,1048576,125.504,True
IQ2_XXS,4096x4096,4096,4096,20,0.095590,4325376,67108864,747.295,skip
IQ2_XXS,11008x4096,11008,4096,10,0.246758,11624448,180355072,778.006,skip
IQ2_XS,64x4096,64,4096,200,0.009943,75776,1048576,113.079,True
IQ2_XS,4096x4096,4096,4096,20,0.095795,4849664,67108864,751.170,skip
IQ2_XS,11008x4096,11008,4096,10,0.245862,13033472,180355072,786.572,skip
IQ2_S,64x4096,64,4096,200,0.010435,83968,1048576,108.538,True
IQ2_S,4096x4096,4096,4096,20,0.096304,5373952,67108864,752.646,skip
IQ2_S,11008x4096,11008,4096,10,0.247910,14442496,180355072,785.758,skip
IQ3_XXS,64x4096,64,4096,200,0.010305,100352,1048576,111.488,True
IQ3_XXS,4096x4096,4096,4096,20,0.097333,6422528,67108864,755.464,skip
IQ3_XXS,11008x4096,11008,4096,10,0.250880,17260544,180355072,787.690,skip
IQ3_S,64x4096,64,4096,200,0.009462,112640,1048576,122.719,True
IQ3_S,4096x4096,4096,4096,20,0.097531,7208960,67108864,761.990,skip
IQ3_S,11008x4096,11008,4096,10,0.252723,19374080,180355072,790.308,skip
IQ1_S,64x4096,64,4096,200,0.010112,51200,1048576,108.759,True
IQ1_S,4096x4096,4096,4096,20,0.098859,3276800,67108864,711.979,skip
IQ1_S,11008x4096,11008,4096,10,0.241357,8806400,180355072,783.742,skip
IQ1_M,64x4096,64,4096,200,0.009651,57344,1048576,114.589,True
IQ1_M,4096x4096,4096,4096,20,0.094925,3670016,67108864,745.631,skip
IQ1_M,11008x4096,11008,4096,10,0.243187,9863168,180355072,782.189,skip
IQ4_NL,64x4096,64,4096,200,0.009222,147456,1048576,129.694,True
IQ4_NL,4096x4096,4096,4096,20,0.097946,9437184,67108864,781.516,skip
IQ4_NL,11008x4096,11008,4096,10,0.255693,25362432,180355072,804.549,skip
IQ4_XS,64x4096,64,4096,200,0.009549,139264,1048576,124.399,True
IQ4_XS,4096x4096,4096,4096,20,0.097587,8912896,67108864,779.014,skip
IQ4_XS,11008x4096,11008,4096,10,0.254250,23953408,180355072,803.574,skip
MXFP4,64x4096,64,4096,200,0.009298,139264,1048576,127.753,True
MXFP4,4096x4096,4096,4096,20,0.110285,8912896,67108864,689.322,skip
MXFP4,11008x4096,11008,4096,10,0.290304,23953408,180355072,703.774,skip
NVFP4,64x4096,64,4096,200,0.009380,147456,1048576,127.511,True
NVFP4,4096x4096,4096,4096,20,0.123290,9437184,67108864,620.864,skip
NVFP4,11008x4096,11008,4096,10,0.326042,25362432,180355072,630.955,skip
Q1_0,64x4096,64,4096,200,0.009277,36864,1048576,116.998,True
Q1_0,4096x4096,4096,4096,20,0.106701,2359296,67108864,651.056,skip
Q1_0,11008x4096,11008,4096,10,0.282298,6340608,180355072,661.343,skip
Q2_K,64x4096,64,4096,200,0.010367,86016,1048576,109.441,True
Q2_K,4096x4096,4096,4096,20,0.092006,5505024,67108864,789.227,skip
Q2_K,11008x4096,11008,4096,10,0.243174,14794752,180355072,802.510,skip
Q3_K,64x4096,64,4096,200,0.009589,112640,1048576,121.093,True
Q3_K,4096x4096,4096,4096,20,0.093645,7208960,67108864,793.614,skip
Q3_K,11008x4096,11008,4096,10,0.246579,19374080,180355072,810.000,skip
Q4_0,64x4096,64,4096,200,0.012191,147456,1048576,98.110,True
Q4_0,4096x4096,4096,4096,20,0.096307,9437184,67108864,794.811,skip
Q4_0,11008x4096,11008,4096,10,0.254362,25362432,180355072,808.760,skip
Q4_1,64x4096,64,4096,200,0.011694,163840,1048576,103.675,True
Q4_1,4096x4096,4096,4096,20,0.097277,10485760,67108864,797.668,skip
Q4_1,11008x4096,11008,4096,10,0.257024,28180480,180355072,811.347,skip
Q4_K,64x4096,64,4096,200,0.009636,147456,1048576,124.123,True
Q4_K,4096x4096,4096,4096,20,0.095949,9437184,67108864,797.780,skip
Q4_K,11008x4096,11008,4096,10,0.253629,25362432,180355072,811.097,skip
Q5_0,64x4096,64,4096,200,0.009436,180224,1048576,130.218,True
Q5_0,4096x4096,4096,4096,20,0.098458,11534336,67108864,798.752,skip
Q5_0,11008x4096,11008,4096,10,0.260506,30998528,180355072,811.321,skip
Q5_1,64x4096,64,4096,200,0.010532,196608,1048576,118.229,True
Q5_1,4096x4096,4096,4096,20,0.100301,12582912,67108864,794.528,skip
Q5_1,11008x4096,11008,4096,10,0.263571,33816576,180355072,812.576,skip
Q5_K,64x4096,64,4096,200,0.012544,180224,1048576,97.962,True
Q5_K,4096x4096,4096,4096,20,0.098406,11534336,67108864,799.168,skip
Q5_K,11008x4096,11008,4096,10,0.259379,30998528,180355072,814.844,skip
Q6_K,64x4096,64,4096,200,0.009707,215040,1048576,130.175,True
Q6_K,4096x4096,4096,4096,20,0.101061,13762560,67108864,800.225,skip
Q6_K,11008x4096,11008,4096,10,0.266848,36986880,180355072,814.478,skip
Q8_0,64x4096,64,4096,200,0.009416,278528,1048576,140.946,True
Q8_0,4096x4096,4096,4096,20,0.105523,17825792,67108864,804.891,skip
Q8_0,11008x4096,11008,4096,10,0.279347,47906816,180355072,817.126,skip
TQ1_0,64x4096,64,4096,200,0.012355,55296,1048576,89.349,True
TQ1_0,4096x4096,4096,4096,20,0.155238,3538944,67108864,455.092,skip
TQ1_0,11008x4096,11008,4096,10,0.411750,9510912,180355072,461.119,skip
TQ2_0,64x4096,64,4096,200,0.010358,67584,1048576,107.761,True
TQ2_0,4096x4096,4096,4096,20,0.107523,4325376,67108864,664.361,skip
TQ2_0,11008x4096,11008,4096,10,0.284381,11624448,180355072,675.079,skip
