qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XXS,64x4096,64,4096,cuda_quant_current_all,3,58.359807,33.88484191894531,-41.93805007109549,1048576,67584,0.03293980248365701,0.0035184578598223674,30220.002278584412,True
IQ2_XXS,4096x4096,4096,4096,cuda_quant_current_all,1,233.813828,118.35391998291016,-49.381128996823,67108864,4325376,0.6035646306460726,0.06446962514912119,553729.018941351,skip
IQ2_XXS,11008x4096,11008,4096,cuda_quant_current_all,1,511.188995,256.3645324707031,-49.849363938145196,180355072,11624448,0.7488536661050766,0.07998864196807057,687021.7120230062,skip
IQ2_XS,64x4096,64,4096,cuda_quant_current_all,3,169.488383,85.20191955566406,-49.72993544008024,1048576,75776,0.013196322405218102,0.0014095623163018695,12018.508565772407,True
IQ2_XS,4096x4096,4096,4096,cuda_quant_current_all,1,610.387939,267.3223571777344,-56.2045151783816,67108864,4849664,0.26918260320500237,0.028752681393399097,245157.19781876355,skip
IQ2_XS,11008x4096,11008,4096,cuda_quant_current_all,1,1331.420166,576.6092529296875,-56.69216467841246,180355072,13033472,0.3353892484683767,0.03582452985135406,305454.68895116274,skip
IQ2_S,64x4096,64,4096,cuda_quant_current_all,3,213.381795,3.7420374552408853,-98.24631831631145,1048576,83968,0.3026543730645516,0.032327961233128776,273647.7152482383,True
IQ2_S,4096x4096,4096,4096,cuda_quant_current_all,1,741.796814,13.105152130126953,-98.23332321158675,67108864,5373952,5.530864142612425,0.5907780541136963,5000781.322434381,skip
IQ2_S,11008x4096,11008,4096,cuda_quant_current_all,1,1624.433716,22.08051109313965,-98.6407256340683,180355072,14442496,8.822149413947354,0.9423359767087538,7976626.956552761,skip
IQ3_XXS,64x4096,64,4096,cuda_quant_current_all,3,270.784831,5.908138910929362,-97.81814258608549,1048576,100352,0.1944652990258266,0.020771768748753108,173320.23086080802,True
IQ3_XXS,4096x4096,4096,4096,cuda_quant_current_all,1,1092.228027,20.07244873046875,-98.16224742139228,67108864,6422528,3.6632995299862863,0.39129454496755883,3264972.8431250323,skip
IQ3_XXS,11008x4096,11008,4096,cuda_quant_current_all,1,2437.06958,47.86592102050781,-98.03592308511324,180355072,17260544,4.128524256648754,0.44098742326946744,3679611.636941849,skip
IQ3_S,64x4096,64,4096,cuda_quant_current_all,3,254.123698,3.6618239084879556,-98.55903879201068,1048576,112640,0.3171141018846782,0.033872474031689616,279642.0651540372,True
IQ3_S,4096x4096,4096,4096,cuda_quant_current_all,1,1029.164062,14.182144165039062,-98.62197440731863,67108864,7208960,5.240238932502439,0.5597349853132279,4621021.986333721,skip
