qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XXS,64x4096,64,4096,cuda_quant_current_iq_tables,3,58.359807,6.317738850911458,-89.17450352275588,1048576,67584,0.17667080364345417,0.018871053582936784,162083.30609491208,True
IQ2_XXS,4096x4096,4096,4096,cuda_quant_current_iq_tables,1,233.813828,25.33683204650879,-89.16367254099754,67108864,4325376,2.8193832547365782,0.30115181101651123,2586590.141960164,skip
IQ2_XXS,11008x4096,11008,4096,cuda_quant_current_iq_tables,1,511.188995,46.528350830078125,-90.89801398598611,180355072,11624448,4.126076178825048,0.44072593236755486,3785390.98974775,skip
IQ2_XS,64x4096,64,4096,cuda_quant_current_iq_tables,3,169.488383,17.307989756266277,-89.78809671205236,1048576,75776,0.06496144357798302,0.00693884250993196,59163.42766665121,True
IQ2_XS,4096x4096,4096,4096,cuda_quant_current_iq_tables,1,610.387939,51.99871826171875,-91.48103772382719,67108864,4849664,1.3838519564620804,0.1478158466633284,1260338.7581621862,skip
IQ2_XS,11008x4096,11008,4096,cuda_quant_current_iq_tables,1,1331.420166,93.0703353881836,-93.00969462797039,180355072,13033472,2.07787522408083,0.22194779150617708,1892418.2368677869,skip
IQ2_S,64x4096,64,4096,cuda_quant_current_iq_tables,3,213.381795,3.765589396158854,-98.23528085132153,1048576,83968,0.30076141630185926,0.0321257654669792,271936.1811047552,True
IQ2_S,4096x4096,4096,4096,cuda_quant_current_iq_tables,1,741.796814,13.142975807189941,-98.22822428471768,67108864,5373952,5.514947076167322,0.589077876112724,4986389.761453274,skip
IQ2_S,11008x4096,11008,4096,cuda_quant_current_iq_tables,1,1624.433716,22.08358383178711,-98.64053647654116,180355072,14442496,8.820921888575368,0.9422048588523144,7975517.078277909,skip
IQ3_XXS,64x4096,64,4096,cuda_quant_current_iq_tables,3,270.784831,5.876714706420898,-97.82974744755148,1048576,100352,0.19550515166997665,0.020882840383462574,174247.0157486423,True
IQ3_XXS,4096x4096,4096,4096,cuda_quant_current_iq_tables,1,1092.228027,20.00262451171875,-98.16864024569489,67108864,6422528,3.676087203302789,0.3926604575200586,3276370.056419598,skip
IQ3_XXS,11008x4096,11008,4096,cuda_quant_current_iq_tables,1,2437.06958,47.58108901977539,-98.04761056433294,180355072,17260544,4.153238609521276,0.4436272815126336,3701638.689412902,skip
IQ3_S,64x4096,64,4096,cuda_quant_current_iq_tables,3,254.123698,3.618816057840983,-98.57596277469527,1048576,112640,0.3208828471632215,0.03427503174142507,282965.47368890786,True
IQ3_S,4096x4096,4096,4096,cuda_quant_current_iq_tables,1,1029.164062,14.190591812133789,-98.62115358123205,67108864,7208960,5.237119422775158,0.5594017755581241,4618271.095921656,skip
