qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ1_S,64x4096,64,4096,iq1_iq2_neighbour_tables,3,41.754262,2.289621353149414,-94.5164367815927,1048576,51200,0.4803309501316621,0.051306446286227526,447235.52153786045,True
IQ1_S,4096x4096,4096,4096,iq1_iq2_neighbour_tables,1,129.078278,6.77785587310791,-94.74903447882384,67108864,3276800,10.384650443699305,1.109234185398345,9669134.491340136,skip
IQ1_S,11008x4096,11008,4096,iq1_iq2_neighbour_tables,1,277.797699,15.846400260925293,-94.295704997569,180355072,8806400,11.937188817982983,1.2750682352043348,11114700.947842628,skip
IQ1_M,64x4096,64,4096,iq1_iq2_neighbour_tables,3,37.506388,3.795285224914551,-89.88096314442609,1048576,57344,0.29139311921540745,0.031125092845055272,269808.4437179698,True
IQ1_M,4096x4096,4096,4096,iq1_iq2_neighbour_tables,1,130.176773,12.185471534729004,-90.63928898073928,67108864,3670016,5.8084645964071075,0.6204298863925558,5378207.95963621,skip
IQ1_M,11008x4096,11008,4096,iq1_iq2_neighbour_tables,1,249.66861,25.9420166015625,-89.60942002217959,180355072,9863168,7.332438450006353,0.7832128231153976,6789294.861116993,skip
IQ2_XXS,64x4096,64,4096,iq1_iq2_neighbour_tables,3,58.359807,6.293760299682617,-89.21559096368736,1048576,67584,0.17734390044315573,0.018942950271646625,162700.8260946383,True
IQ2_XXS,4096x4096,4096,4096,iq1_iq2_neighbour_tables,1,233.813828,21.89619255065918,-90.63520205885376,67108864,4325376,3.2624046319801607,0.3484730433646828,2993031.772458863,skip
IQ2_XXS,11008x4096,11008,4096,iq1_iq2_neighbour_tables,1,511.188995,40.36608123779297,-92.10349173542107,180355072,11624448,4.755961295055267,0.5080069744771702,4363267.24316997,skip
IQ2_XS,64x4096,64,4096,iq1_iq2_neighbour_tables,3,169.488383,15.037087758382162,-91.12795373215509,1048576,75776,0.07477192512714102,0.00798674696935922,68098.29246552006,True
IQ2_XS,4096x4096,4096,4096,iq1_iq2_neighbour_tables,1,610.387939,51.91462326049805,-91.4948150277101,67108864,4849664,1.3860936183418942,0.14805528929095216,1262380.344573674,skip
IQ2_XS,11008x4096,11008,4096,iq1_iq2_neighbour_tables,1,1331.420166,92.82252502441406,-93.02830711185021,180355072,13033472,2.083422573875632,0.22254033047165475,1897470.468010594,skip
IQ2_S,64x4096,64,4096,iq1_iq2_neighbour_tables,3,213.381795,3.745408058166504,-98.24473870502098,1048576,83968,0.30238200548818606,0.03229886834951785,273401.45161680476,True
IQ2_S,4096x4096,4096,4096,iq1_iq2_neighbour_tables,1,741.796814,13.0764799118042,-98.2371884503936,67108864,5373952,5.542991423446414,0.5920734269863719,5011746.314146848,skip
IQ2_S,11008x4096,11008,4096,iq1_iq2_neighbour_tables,1,1624.433716,22.11827278137207,-98.63840102778487,180355072,14442496,8.807087692853568,0.9407271622360145,7963008.763882069,skip
