qtype,shape,rows,width,kernel_variant,iterations,old_baseline_ms,ms,delta_pct,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
IQ2_XS,64x4096,64,4096,iq_tables_tuned_threads_confirm,5,169.488383,13.93726043701172,-91.77686388275252,1048576,75776,0.0806723821429193,0.008617003006079822,73472.11488426167,True
IQ2_XS,4096x4096,4096,4096,iq_tables_tuned_threads_confirm,2,610.387939,46.148529052734375,-92.4394756016412,67108864,4849664,1.5592810751946673,0.1665542699417504,1420110.2688476024,skip
IQ2_XS,11008x4096,11008,4096,iq_tables_tuned_threads_confirm,2,1331.420166,88.3082275390625,-93.36736593044344,180355072,13033472,2.1899266850810246,0.2339165440163453,1994468.747796926,skip
IQ2_XXS,64x4096,64,4096,iq_tables_tuned_threads_confirm,5,58.359807,4.391936111450195,-92.4743820495325,1048576,67584,0.2541384873723606,0.02714574742281143,233154.57557097304,True
IQ2_XXS,4096x4096,4096,4096,iq_tables_tuned_threads_confirm,2,233.813828,16.66713523864746,-92.87162124617905,67108864,4325376,4.285933903887666,0.45780110060752677,3932049.4531079503,skip
IQ2_XXS,11008x4096,11008,4096,iq_tables_tuned_threads_confirm,2,511.188995,31.463424682617188,-93.84505046267336,180355072,11624448,6.101672717975428,0.6517488483203832,5597864.87887654,skip
IQ3_XXS,64x4096,64,4096,iq_tables_tuned_threads_confirm,5,270.784831,4.165222549438477,-98.46179620399842,1048576,100352,0.2758383222896192,0.02946361058423619,245845.20703174616,True
IQ3_XXS,4096x4096,4096,4096,iq_tables_tuned_threads_confirm,2,1092.228027,19.0360164642334,-98.25713898621342,67108864,6422528,3.86275101926695,0.41259891254720676,3442737.0938208112,skip
IQ3_XXS,11008x4096,11008,4096,iq_tables_tuned_threads_confirm,2,2437.06958,47.06304168701172,-98.0688675418528,180355072,17260544,4.19895546306216,0.4485105173106345,3742384.548183743,skip
IQ3_S,64x4096,64,4096,iq_tables_tuned_threads_confirm,5,254.123698,3.0013311386108397,-98.81894873943993,1048576,112640,0.38690032734524143,0.04132667457223258,341181.94651255856,True
IQ3_S,4096x4096,4096,4096,iq_tables_tuned_threads_confirm,2,1029.164062,13.436847686767578,-98.69439206216981,67108864,7208960,5.530897255997562,0.5907815911127495,4877334.440914959,skip
IQ3_S,11008x4096,11008,4096,iq_tables_tuned_threads_confirm,2,2305.68335,33.158145904541016,-98.56189507095408,180355072,19374080,6.0235319723545535,0.6434022615204606,5311756.589377913,skip
IQ1_M,64x4096,64,4096,iq_tables_tuned_threads_confirm,5,37.506388,2.645030403137207,-92.94778691262617,1048576,57344,0.41811239624629454,0.044660584944060513,387141.1076354579,True
IQ1_M,4096x4096,4096,4096,iq_tables_tuned_threads_confirm,2,130.176773,10.924032211303711,-91.60830925552003,67108864,3670016,6.47918997591028,0.6920732723681136,5999249.977694702,skip
IQ1_M,11008x4096,11008,4096,iq_tables_tuned_threads_confirm,2,249.66861,25.2600154876709,-89.88258256107129,180355072,9863168,7.530408684541116,0.8043589707905484,6972600.633834366,skip
IQ1_S,64x4096,64,4096,iq_tables_tuned_threads_confirm,5,41.754262,1.7647615432739259,-95.77345770529023,1048576,51200,0.6231867439494022,0.06656555692687484,580248.3649435774,True
IQ1_S,4096x4096,4096,4096,iq_tables_tuned_threads_confirm,2,129.078278,6.48089599609375,-94.97909633091498,67108864,3276800,10.860483495248769,1.1600601896228122,10112182.025371293,skip
IQ1_S,11008x4096,11008,4096,iq_tables_tuned_threads_confirm,2,277.797699,14.77791976928711,-94.68033039061021,180355072,8806400,12.80027737010276,1.3672588517520572,11918321.573652476,skip
