qtype,shape,rows,width,kernel_variant,iterations,ms,decoded_bytes,encoded_bytes,traffic_gb_s,roofline_pct,blocks_per_s,exact
Q2_K,64x4096,64,4096,production,100,0.1863997196778655,1048576,86016,6.086876106685101,0.6501683514938155,5493570.493398105,n/a
Q3_K,64x4096,64,4096,production,100,0.017374949529767036,1048576,112640,66.83276967283194,7.138727800986108,58935422.99191529,n/a
Q4_K,64x4096,64,4096,production,100,0.23154472932219505,1048576,147456,5.165446881478,0.5517460886005127,4422471.645101027,ok
Q5_K,64x4096,64,4096,production,100,0.2292045601643622,1048576,180224,5.36114987903744,0.5726500618497586,4467624.899197867,n/a
Q6_K,64x4096,64,4096,production,100,0.1483745384030044,1048576,215040,8.516393807189854,0.9096767578711658,6901453.652503934,n/a
Q4_K,64x4096,64,4096,baseline,100,0.23150963941588998,1048576,147456,5.166229808044481,0.5518297167319463,4423141.958942192,ok
Q4_K,64x4096,64,4096,load_only,100,0.02161592012271285,1048576,147456,55.331070489258224,5.910176296652234,47372491.85724163,n/a
Q4_K,64x4096,64,4096,stats_only,100,0.15163792064413428,1048576,147456,7.8874202107193385,0.8424930795470347,6752928.262602174,n/a
Q4_K,64x4096,64,4096,quant_no_pack,100,0.19362846156582236,1048576,147456,6.176943153542636,0.6597888435743042,5288478.727348148,n/a
Q4_K,64x4096,64,4096,cooperative,100,0.4206751403398812,1048576,147456,2.8431249800824347,0.3036877782613154,2434182.3459609887,ok
Q4_K,64x4096,64,4096,templated_no_laux,100,0.4441234306432307,1048576,147456,2.6930171152370157,0.2876540392263422,2305665.338387856,ok
Q4_K,64x4096,64,4096,templated_laux,100,0.40517107117921114,1048576,147456,2.9519185476866965,0.3153085395948191,2527327.5237043635,ok
Q4_K,64x4096,64,4096,warp_search,100,0.06337556056678295,1048576,147456,18.8721328743067,2.0158227808488247,16157648.00882423,mismatch
Q4_K,64x4096,64,4096,warp_block_search,100,0.08393848082050681,1048576,147456,14.248911682802344,1.5219944117498765,12199410.687330773,mismatch
Q4_K,64x4096,64,4096,lane_subgroups,100,0.03659358946606517,1048576,147456,32.68419462127739,3.491155161426767,27983043.34013475,ok
Q2_K,4096x4096,4096,4096,production,30,0.6807198670382301,67108864,5505024,106.67220323088046,11.394168257944932,96274551.6524192,n/a
Q3_K,4096x4096,4096,4096,production,30,0.3253182318682472,67108864,7208960,228.4465385576621,24.40146748105769,201451974.03673908,n/a
Q4_K,4096x4096,4096,4096,production,30,0.8474344620481133,67108864,9437184,90.32680570365342,9.648238165312264,77334593.92436081,ok
Q5_K,4096x4096,4096,4096,production,30,1.1085149288798373,67108864,11534336,70.94464670806875,7.577937054910142,59120538.92339061,n/a
Q6_K,4096x4096,4096,4096,production,30,0.8049371729915341,67108864,13762560,100.46923749271369,10.731599817636582,81417534.43493816,n/a
Q4_K,4096x4096,4096,4096,baseline,30,0.9019073642169436,67108864,9437184,84.87129724953405,9.065509212725278,72663781.89172436,ok
Q4_K,4096x4096,4096,4096,load_only,30,0.260431133210659,67108864,9437184,293.9204965870305,31.395054110983818,251644260.77656725,n/a
Q4_K,4096x4096,4096,4096,stats_only,30,0.6010692333802581,67108864,9437184,127.34980223413666,13.60284151187104,109032364.92648686,n/a
Q4_K,4096x4096,4096,4096,quant_no_pack,30,0.7496700001259645,67108864,9437184,102.10632409878778,10.906464868488333,87419798.02978405,n/a
Q4_K,4096x4096,4096,4096,cooperative,30,21.873889894535143,67108864,9437184,3.4994254962910762,0.37379037559186884,2996083.472851949,ok
Q4_K,4096x4096,4096,4096,templated_no_laux,30,2.561947967236241,67108864,9437184,29.878065042271633,3.1914190389095953,25580535.138931192,ok
Q4_K,4096x4096,4096,4096,templated_laux,30,2.5006311324735484,67108864,9437184,30.610691439437918,3.269674368664593,26207783.766642056,ok
Q4_K,4096x4096,4096,4096,warp_search,30,4.075982429397603,67108864,9437184,18.779778697748924,2.0059579895053323,16078577.652182298,mismatch
Q4_K,4096x4096,4096,4096,warp_block_search,30,4.036011127755046,67108864,9437184,18.965767332405072,2.0258243251874677,16237814.49692215,mismatch
Q4_K,4096x4096,4096,4096,lane_subgroups,30,0.6378379339973131,67108864,9437184,120.00861648395225,12.818694347783833,102747103.15406871,ok
Q2_K,11008x4096,11008,4096,production,15,1.5301443946858246,180355072,14794752,127.5368682052186,13.622822923009888,115105476.71951137,n/a
Q3_K,11008x4096,11008,4096,production,15,0.9337827252844969,180355072,19374080,213.89253259011429,22.846884489437542,188617753.60680273,n/a
Q4_K,11008x4096,11008,4096,production,15,2.0986828642586866,180355072,25362432,98.02219644684867,10.470219658924233,83923113.39627454,ok
Q5_K,11008x4096,11008,4096,production,15,2.507204127808412,180355072,30998528,84.29852107205471,9.004328249525177,70248767.5600456,n/a
Q6_K,11008x4096,11008,4096,production,15,1.9372775995483,180355072,36986880,112.1893692729818,11.983483152422751,90915210.10776484,n/a
Q4_K,11008x4096,11008,4096,baseline,15,2.0980915365119777,180355072,25362432,98.04982309875764,10.47317059375749,83946766.35167606,ok
Q4_K,11008x4096,11008,4096,load_only,15,2.9929933293412128,180355072,25362432,68.73303123775435,7.341703828001959,58846773.319995165,n/a
Q4_K,11008x4096,11008,4096,stats_only,15,1.5212110709398985,180355072,25362432,135.23271551849473,14.444853185056047,115781434.51925918,n/a
Q4_K,11008x4096,11008,4096,quant_no_pack,15,1.829457205409805,180355072,25362432,112.44728949749799,12.01103284527857,96273364.29580307,n/a
Q4_K,11008x4096,11008,4096,cooperative,15,58.89141480438411,180355072,25362432,3.493166273612526,0.37312179807867185,2990724.549325793,ok
Q4_K,11008x4096,11008,4096,templated_no_laux,15,6.273440799365441,180355072,25362432,32.791814026651586,3.502650504876264,28075183.24199622,ok
Q4_K,11008x4096,11008,4096,templated_laux,15,5.039196663225691,180355072,25362432,40.82347202308157,4.360550312228324,34951602.75948765,ok
Q4_K,11008x4096,11008,4096,warp_search,15,11.008882662281394,180355072,25362432,18.686501646968118,1.9959946215518176,15998717.163500099,mismatch
Q4_K,11008x4096,11008,4096,warp_block_search,15,10.904374858364463,180355072,25362432,18.86559355048212,2.01512428439245,16152049.27267305,mismatch
Q4_K,11008x4096,11008,4096,lane_subgroups,15,1.7126181318114202,180355072,25362432,120.11872359567658,12.8304554150477,102841372.94150393,ok
